Climate scenario,With CO2 yield fertilization,Data source,Point estimate,95 percent CI,Region,Nutrient,Unit per capita,Year,Value
No Climate Change,no,Reference,yes,,Iceland,protein,g,2010,110.81
No Climate Change,no,Reference,yes,,Iceland,iron,mg,2010,17.82
No Climate Change,no,Reference,yes,,Iceland,zinc,mg,2010,16.98
No Climate Change,no,Reference,yes,,Israel,protein,g,2010,161.35
No Climate Change,no,Reference,yes,,Israel,iron,mg,2010,31.51
No Climate Change,no,Reference,yes,,Israel,zinc,mg,2010,24.52
No Climate Change,no,Reference,yes,,Italy,protein,g,2010,144.95
No Climate Change,no,Reference,yes,,Italy,iron,mg,2010,26.35
No Climate Change,no,Reference,yes,,Italy,zinc,mg,2010,23.10
No Climate Change,no,Reference,yes,,Jamaica,protein,g,2010,85.29
No Climate Change,no,Reference,yes,,Jamaica,iron,mg,2010,17.65
No Climate Change,no,Reference,yes,,Jamaica,zinc,mg,2010,12.50
No Climate Change,no,Reference,yes,,Jordan,protein,g,2010,102.46
No Climate Change,no,Reference,yes,,Jordan,iron,mg,2010,23.39
No Climate Change,no,Reference,yes,,Jordan,zinc,mg,2010,17.07
No Climate Change,no,Reference,yes,,Japan,protein,g,2010,108.28
No Climate Change,no,Reference,yes,,Japan,iron,mg,2010,24.11
No Climate Change,no,Reference,yes,,Japan,zinc,mg,2010,14.80
No Climate Change,no,Reference,yes,,Kazakhstan,protein,g,2010,132.52
No Climate Change,no,Reference,yes,,Kazakhstan,iron,mg,2010,27.13
No Climate Change,no,Reference,yes,,Kazakhstan,zinc,mg,2010,22.72
No Climate Change,no,Reference,yes,,Kenya,protein,g,2010,64.95
No Climate Change,no,Reference,yes,,Kenya,iron,mg,2010,18.18
No Climate Change,no,Reference,yes,,Kenya,zinc,mg,2010,10.41
No Climate Change,no,Reference,yes,,Kyrgyzstan,protein,g,2010,109.43
No Climate Change,no,Reference,yes,,Kyrgyzstan,iron,mg,2010,24.30
No Climate Change,no,Reference,yes,,Kyrgyzstan,zinc,mg,2010,19.69
No Climate Change,no,Reference,yes,,Cambodia,protein,g,2010,63.07
No Climate Change,no,Reference,yes,,Cambodia,iron,mg,2010,12.68
No Climate Change,no,Reference,yes,,Cambodia,zinc,mg,2010,6.60
No Climate Change,no,Reference,yes,,South Korea,protein,g,2010,111.74
